Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
"U7"	,"STM32L431RCT6"	,"LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL"	,"29.464mm"	,"-19.558mm"	,"29.464mm"	,"-19.558mm"	,"23.714mm"	,"-15.808mm"	,"64"	,"T"	,"270"	,"Yes"	,"STM32L431RCT6"	,
"LED3"	,"HL-PCF-3216S39FU70GH203BC-A"	,"LED-SMD_4P-L3.2-W1.5-BL"	,"34.671mm"	,"-31.877mm"	,"34.671mm"	,"-31.877mm"	,"33.371mm"	,"-31.377mm"	,"4"	,"T"	,"180"	,"Yes"	,"HL-PCF-3216S39FU70GH203BC-A"	,
"U11"	,"74HC245PW"	,"TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL"	,"45.212mm"	,"-21.082mm"	,"45.212mm"	,"-21.082mm"	,"42.341mm"	,"-18.157mm"	,"20"	,"T"	,"270"	,"Yes"	,"74HC245PW"	,
"X1"	,"X32258MOB4SI"	,"OSC-SMD_4P-L3.2-W2.5-BL"	,"19.05mm"	,"-18.034mm"	,"19.05mm"	,"-18.034mm"	,"20.15mm"	,"-17.159mm"	,"4"	,"T"	,"180"	,"Yes"	,"X32258MOB4SI_8MHz"	,
"R15"	,"CR0603JA0560G"	,"R0603"	,"12.573mm"	,"-11.684mm"	,"12.573mm"	,"-11.684mm"	,"11.82mm"	,"-11.684mm"	,"2"	,"T"	,"0"	,"Yes"	,"CR0603JA0560G_56Ω"	,
"R16"	,"CR0603JA0560G"	,"R0603"	,"12.564mm"	,"-10.16mm"	,"12.564mm"	,"-10.16mm"	,"11.811mm"	,"-10.16mm"	,"2"	,"T"	,"0"	,"Yes"	,"CR0603JA0560G_56Ω"	,
"C28"	,"CL10B104KC8NNNC"	,"C0603"	,"12.573mm"	,"-8.509mm"	,"12.573mm"	,"-8.509mm"	,"11.873mm"	,"-8.509mm"	,"2"	,"T"	,"0"	,"Yes"	,"CL10B104KC8NNNC_100nF"	,
"CN3"	,"X9821WVS-04-9TSN"	,"CONN-SMD_4P-P1.25_X9821WVS-04-9TSN"	,"44.45mm"	,"-11.303mm"	,"44.45mm"	,"-11.303mm"	,"46.325mm"	,"-12.728mm"	,"6"	,"T"	,"180"	,"Yes"	,"X9821WVS-04-9TSN"	,
"D13"	,"PESD5V0L1BA"	,"SOD-323_L1.7-W1.3-LS2.5-BI"	,"37.592mm"	,"-10.541mm"	,"37.592mm"	,"-10.541mm"	,"37.592mm"	,"-11.745mm"	,"2"	,"T"	,"90"	,"Yes"	,"PESD5V0L1BA"	,
"D12"	,"PESD5V0L1BA"	,"SOD-323_L1.7-W1.3-LS2.5-BI"	,"41.275mm"	,"-15.494mm"	,"41.275mm"	,"-15.494mm"	,"41.275mm"	,"-16.698mm"	,"2"	,"T"	,"90"	,"Yes"	,"PESD5V0L1BA"	,
